videoid,conspiracy,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,var_r,var_g,var_b,var_h,var_s,var_v,var_bright,var_bright_sd,var_contrast,var_colorful,median_r,median_g,median_b,median_h,median_s,median_v,median_bright,median_bright_sd,median_contrast,median_colorful
NcSUF8erpfU,0,0.008902077,0.011869436,0.007418398,0.012611276,0.011127596,0.014094955,0.005934718,0.014836795,0.023738872,0.026706231,298.035544,256.5264296,317.6666377,176.2264857,291.4719549,318.8391857,249.6841641,58.31272826,273.0942497,131.3231262,99.31558,85.044938,112.727762,86.092826,134.038498,134.587656,92.60338,66.26616271,220,74.24820337
V0yb0_a-WNc,0,0.007830854,0.007439311,0.006656226,0.011354738,0.003523884,0.009397024,0.004306969,0.009397024,0.022317933,0.015270164,14.56208647,13.20616684,14.47324141,22.24981584,3.087458638,14.46849697,13.46171183,2.128646002,6.360654874,0.903764569,126.550148,128.66682,130.396076,83.76266,39.437676,134.533176,128.116216,75.92856829,241,19.76142711
BkbztWS4-9I,0,0.011656442,0.014723926,0.006134969,0.014723926,0.008588957,0.006748466,0.006134969,0.02208589,0.020858896,0.030674847,1397.200532,1812.288126,1125.2902,952.7952201,3386.59547,942.4475953,1478.249667,160.3661491,1102.429909,528.6657003,82.593592,44.906568,92.771928,116.763216,175.650236,106.260372,61.527896,54.77090358,190,71.94742571
7OVT3N5_4to,0,0.002615747,0.007585666,0.002092597,0.00444677,0.004708344,0.004708344,0.00392362,0.01229401,0.007062516,0.017525504,800.1758572,979.4323785,765.2022288,533.0304586,899.264225,665.8847647,850.3827669,385.9404532,2316.22837,115.950038,79.772896,73.095122,103.62724,107.586062,112.794364,110.728122,77.605316,50.42404713,182,56.54108335
8ocWUAwQMhY,1,0.005721551,0.008900191,0.002542912,0.009218055,0.004767959,0.006675143,0.002542912,0.013032422,0.014303878,0.018753973,611.6702554,710.533599,704.2855208,565.7823394,267.6405419,616.4712871,661.1840789,185.405393,48.20760413,226.2819466,178.29766,182.07014,183.746428,67.315794,5.285804,184.217756,181.10016,92.07312733,255,10.85010018
cw0A9FUTEKE,0,0.00528026,0.008529651,0.002437043,0.007311129,0.005686434,0.005686434,0.00528026,0.013809911,0.013403737,0.022745735,2165.087932,2562.72669,2683.988228,764.0332315,516.8240059,2047.415989,2434.671991,410.0139063,1765.255725,361.9553812,161.428528,145.429416,150.867948,32.906132,51.594032,164.438364,148.95482,50.3738056,186,32.58841062
m63EyxOC7KM,1,0.020134228,0.003355705,0.010067114,0.026845638,0,0.023489933,0,0.006711409,0.040268456,0.013422819,452.3569803,478.1862745,419.1756309,355.0906685,468.1201269,488.8737917,444.6664753,45.39012738,783.693329,53.25343326,58.932432,48.911764,50.621008,91.027888,61.974344,60.291964,52.09878,57.20310795,223,22.0488102
EgNAxAzSiZ8,0,0.005434783,0.009057971,0.00634058,0.011775362,0.005434783,0.008152174,0.003623188,0.017210145,0.019021739,0.017210145,288.8094413,271.2321881,784.6940435,14.26124804,147.1422481,1002.397594,317.16141,97.15935412,378.3981062,475.0493935,70.025144,66.061332,89.621836,112.383048,108.952552,100.371396,69.952112,45.27462136,186,64.86654255
uf2HpbDCM9I,0,0.005952381,0.017857143,0.011904762,0.017857143,0.005952381,0.011904762,0.005952381,0.005952381,0.035714286,0.029761905,332.1174617,461.1283991,641.4816139,42.66305928,455.7896528,330.4779952,428.1141618,3.818680017,43.24918033,117.3419286,111.044316,78.97042,44.587712,20.35254,155.174064,111.414104,84.624828,43.79376968,187,51.95671379
lXnLwtAS6Fk,1,0.008474576,0.014124294,0.003954802,0.011299435,0.010734463,0.004519774,0.003954802,0.016949153,0.012429379,0.026553672,255.6029277,227.5623074,115.5345101,82.65243534,56.37654479,233.1689504,201.2189553,67.70669913,411.4827187,23.13339795,162.88566,127.777572,135.631998,73.192558,136.100062,191.345718,139.44729,43.73639211,183,102.3178608
EJIKaE3DMrY,0,0.019323671,0.014492754,0.014492754,0.043478261,0.009661836,0.014492754,0.014492754,0.028985507,0.033816425,0.043478261,1272.791088,1428.681237,1424.848871,807.6201967,2478.870524,1676.512834,1328.596828,158.8109202,2401.916022,931.1450474,74.978464,74.684996,101.348144,90.87972,123.319048,113.457384,76.328572,48.03836212,203,78.06684306
MJbxTmwDq10,0,0.005843397,0.005843397,0.005064277,0.007401636,0.001947799,0.005064277,0.001947799,0.005843397,0.013245033,0.009349435,2848.21737,3686.124341,4845.240897,667.5734804,2991.593674,2551.757042,3446.075512,227.6286303,3990.380489,476.698785,137.45481,97.831936,67.892692,20.508504,140.582778,137.917546,106.225846,59.70075983,223,64.26439129
g1B_dZUwv3Q,0,0.007492795,0.008069164,0.006916427,0.009798271,0.00518732,0.008645533,0.005763689,0.010951009,0.016714697,0.020172911,425.0710741,137.0858392,102.9541395,448.7883537,1035.248491,386.3881831,193.9270777,97.39834059,536.0275301,142.3032325,101.690932,73.453232,64.023194,42.281496,108.478232,102.428612,80.751578,64.00715463,210,45.10296826
buiNWADqakM,0,0.019672131,0.026229508,0.013114754,0.019672131,0.003278689,0.013114754,0.006557377,0.019672131,0.029508197,0.032786885,1888.673361,1855.477199,1741.741143,860.0531062,1225.20266,1377.703972,1798.293306,367.1300447,1291.948757,248.9274384,154.249116,151.72106,160.536546,40.222704,38.125708,167.088856,152.648758,57.07384365,206,23.12507072
h4nCIdyoVcg,0,0.008361204,0.007023411,0.004013378,0.011705686,0.006354515,0.0090301,0.003010033,0.011371237,0.017391304,0.020735786,87.96409216,116.1648402,148.6656733,22.23873207,71.34018148,77.02087117,107.2308639,7.280199346,90.70159079,6.751417225,124.480724,97.801972,77.042756,26.925428,116.161568,128.069248,103.310248,55.20019888,236,49.02453076
